transaction_id,date,customer_id,product,price,quantity,coupon_code,shipping_city,discount_percent,subtotal,discount_amount,final_amount,days_since_purchase,city,population_2021,land_area_km2,population_density_km2
17,2026-06-30,CUST8991,Smartphone,1708.31,1,SAVE30,London,30,1708.31,512.49,1195.82,82,London,"422,324",420.5,"1,004.3"
18,2025-11-21,CUST9750,Laptop,1980.67,2,SAVE20,Ottawa,20,3961.34,792.27,3169.07,303,Ottawa,"1,017,449",2788.2,364.9
19,2026-03-14,CUST9880,Keyboard,1430.02,5,SAVE10,Waterloo,10,7150.1,715.01,6435.09,190,Waterloo,"121,436",64.06,"1,895.8"
20,2026-08-05,CUST2186,Monitor,711.63,2,NO_COUPON,Waterloo,0,1423.26,0.0,1423.26,46,Waterloo,"121,436",64.06,"1,895.8"
21,2026-08-02,CUST7076,Unknown,1854.62,3,SAVE10,Toronto,10,5563.86,556.39,5007.47,49,Toronto,"2,794,356",631.1,"4,427.8"
22,2026-01-20,CUST6703,Mouse,1567.03,3,SAVE10,Toronto,10,4701.09,470.11,4230.98,243,Toronto,"2,794,356",631.1,"4,427.8"
23,2026-09-01,CUST1216,Smartphone,1935.41,5,SAVE20,Ottawa,20,9677.05,1935.41,7741.64,19,Ottawa,"1,017,449",2788.2,364.9
24,2026-08-21,CUST1880,Smartwatch,1062.78,1,SAVE20,Waterloo,20,1062.78,212.56,850.22,30,Waterloo,"121,436",64.06,"1,895.8"
25,2026-07-06,CUST3591,Laptop,231.81,3,SAVE30,Ottawa,30,695.43,208.63,486.8,76,Ottawa,"1,017,449",2788.2,364.9
26,2025-12-24,CUST1547,Smartwatch,1020.3354929577465,2,SAVE10,Waterloo,10,2040.67,204.07,1836.6,270,Waterloo,"121,436",64.06,"1,895.8"
27,2026-08-09,CUST6720,Laptop,1394.96,2,SAVE10,Ottawa,10,2789.92,278.99,2510.93,42,Ottawa,"1,017,449",2788.2,364.9
28,2026-03-11,CUST5165,Monitor,1139.5,4,SAVE20,Ottawa,20,4558.0,911.6,3646.4,193,Ottawa,"1,017,449",2788.2,364.9
29,2026-03-03,CUST8110,Tablet,1450.93,1,SAVE10,London,10,1450.93,145.09,1305.84,201,London,"422,324",420.5,"1,004.3"
30,2025-12-16,CUST3566,Tablet,583.07,4,NO_COUPON,London,0,2332.28,0.0,2332.28,278,London,"422,324",420.5,"1,004.3"
31,2025-12-25,CUST2271,Tablet,637.84,4,SAVE10,Waterloo,10,2551.36,255.14,2296.22,269,Waterloo,"121,436",64.06,"1,895.8"
32,2026-03-28,CUST6517,Mouse,257.9,1,NO_COUPON,London,0,257.9,0.0,257.9,176,London,"422,324",420.5,"1,004.3"
33,2026-04-25,CUST6996,Smartphone,891.02,5,SAVE10,Ottawa,10,4455.1,445.51,4009.59,148,Ottawa,"1,017,449",2788.2,364.9
34,2026-08-12,CUST6291,Smartwatch,1994.12,1,SAVE10,Kitchener,10,1994.12,199.41,1794.71,39,Kitchener,"256,885",136.81,"1,877.6"
35,2026-05-14,CUST7021,Smartwatch,1329.53,1,NO_COUPON,London,0,1329.53,0.0,1329.53,129,London,"422,324",420.5,"1,004.3"
36,2026-04-14,CUST8650,Unknown,1455.46,3,SAVE10,Toronto,10,4366.38,436.64,3929.74,159,Toronto,"2,794,356",631.1,"4,427.8"
37,2026-06-20,CUST8869,Laptop,1295.87,5,SAVE10,London,10,6479.35,647.93,5831.42,92,London,"422,324",420.5,"1,004.3"
38,2026-01-17,CUST5864,Smartphone,488.35,3,SAVE20,Kitchener,20,1465.05,293.01,1172.04,246,Kitchener,"256,885",136.81,"1,877.6"
39,2026-07-31,CUST1359,Keyboard,1429.52,5,SAVE10,London,10,7147.6,714.76,6432.84,51,London,"422,324",420.5,"1,004.3"
40,2026-03-25,CUST7570,Tablet,792.07,3,SAVE10,Waterloo,10,2376.21,237.62,2138.59,179,Waterloo,"121,436",64.06,"1,895.8"
41,2026-06-16,CUST5518,Smartwatch,1020.3354929577465,4,NO_COUPON,London,0,4081.34,0.0,4081.34,96,London,"422,324",420.5,"1,004.3"
42,2025-12-27,CUST5284,Tablet,1949.02,3,SAVE20,Ottawa,20,5847.06,1169.41,4677.65,267,Ottawa,"1,017,449",2788.2,364.9
43,2026-04-08,CUST4038,Monitor,945.88,1,NO_COUPON,Toronto,0,945.88,0.0,945.88,165,Toronto,"2,794,356",631.1,"4,427.8"
44,2025-11-11,CUST5078,Keyboard,73.59,4,SAVE10,Kitchener,10,294.36,29.44,264.92,313,Kitchener,"256,885",136.81,"1,877.6"
45,2026-05-13,CUST7209,Mouse,931.55,4,SAVE20,Ottawa,20,3726.2,745.24,2980.96,130,Ottawa,"1,017,449",2788.2,364.9
46,2026-04-11,CUST3909,Headphones,1569.38,5,SAVE10,Kitchener,10,7846.9,784.69,7062.21,162,Kitchener,"256,885",136.81,"1,877.6"
47,2025-12-05,CUST2461,Tablet,1554.69,5,SAVE10,Toronto,10,7773.45,777.34,6996.11,289,Toronto,"2,794,356",631.1,"4,427.8"
48,2025-10-07,CUST5111,Monitor,819.86,4,SAVE10,London,10,3279.44,327.94,2951.5,348,London,"422,324",420.5,"1,004.3"
49,2026-04-24,CUST7843,Laptop,1792.16,4,SAVE30,Kitchener,30,7168.64,2150.59,5018.05,149,Kitchener,"256,885",136.81,"1,877.6"
50,2026-03-13,CUST4538,Smartwatch,1948.96,2,NO_COUPON,Toronto,0,3897.92,0.0,3897.92,191,Toronto,"2,794,356",631.1,"4,427.8"
51,2026-08-25,CUST8546,Smartphone,736.82,4,SAVE30,London,30,2947.28,884.18,2063.1,26,London,"422,324",420.5,"1,004.3"
52,2026-02-12,CUST7028,Laptop,541.63,4,SAVE10,Kitchener,10,2166.52,216.65,1949.87,220,Kitchener,"256,885",136.81,"1,877.6"
53,2026-09-15,CUST1867,Keyboard,1900.37,4,SAVE10,Kitchener,10,7601.48,760.15,6841.33,5,Kitchener,"256,885",136.81,"1,877.6"
54,2026-08-06,CUST2743,Laptop,1553.74,5,SAVE20,Waterloo,20,7768.7,1553.74,6214.96,45,Waterloo,"121,436",64.06,"1,895.8"
55,2025-11-26,CUST1136,Smartphone,1818.8,2,SAVE10,London,10,3637.6,363.76,3273.84,298,London,"422,324",420.5,"1,004.3"
56,2025-11-29,CUST1950,Headphones,1110.7,5,SAVE30,Waterloo,30,5553.5,1666.05,3887.45,295,Waterloo,"121,436",64.06,"1,895.8"
57,2026-01-31,CUST7449,Laptop,735.25,5,SAVE30,Ottawa,30,3676.25,1102.88,2573.37,232,Ottawa,"1,017,449",2788.2,364.9
58,2025-11-01,CUST1277,Laptop,1067.54,1,SAVE10,Kitchener,10,1067.54,106.75,960.79,323,Kitchener,"256,885",136.81,"1,877.6"
59,2026-07-07,CUST7286,Tablet,560.05,4,SAVE10,Kitchener,10,2240.2,224.02,2016.18,75,Kitchener,"256,885",136.81,"1,877.6"
60,2026-08-28,CUST1895,Smartwatch,607.88,5,NO_COUPON,Waterloo,0,3039.4,0.0,3039.4,23,Waterloo,"121,436",64.06,"1,895.8"
61,2025-11-26,CUST9953,Headphones,1575.41,2,SAVE30,Kitchener,30,3150.82,945.25,2205.57,298,Kitchener,"256,885",136.81,"1,877.6"
62,2026-02-22,CUST6851,Tablet,1339.8,1,SAVE30,Waterloo,30,1339.8,401.94,937.86,210,Waterloo,"121,436",64.06,"1,895.8"
63,2026-08-10,CUST1479,Mouse,948.81,5,SAVE20,Ottawa,20,4744.05,948.81,3795.24,41,Ottawa,"1,017,449",2788.2,364.9
64,2026-04-18,CUST3599,Keyboard,1443.54,3,NO_COUPON,Kitchener,0,4330.62,0.0,4330.62,155,Kitchener,"256,885",136.81,"1,877.6"
65,2026-04-30,CUST7226,Keyboard,907.7,2,NO_COUPON,Waterloo,0,1815.4,0.0,1815.4,143,Waterloo,"121,436",64.06,"1,895.8"
66,2025-10-09,CUST1928,Smartphone,1829.12,3,NO_COUPON,Ottawa,0,5487.36,0.0,5487.36,346,Ottawa,"1,017,449",2788.2,364.9
67,2025-10-27,CUST6246,Monitor,1049.08,4,SAVE20,Toronto,20,4196.32,839.26,3357.06,328,Toronto,"2,794,356",631.1,"4,427.8"
68,2026-08-09,CUST2023,Keyboard,1836.68,5,SAVE30,Kitchener,30,9183.4,2755.02,6428.38,42,Kitchener,"256,885",136.81,"1,877.6"
69,2026-06-13,CUST6071,Tablet,1250.52,2,NO_COUPON,Toronto,0,2501.04,0.0,2501.04,99,Toronto,"2,794,356",631.1,"4,427.8"
70,2026-06-22,CUST4100,Mouse,511.8,2,SAVE10,London,10,1023.6,102.36,921.24,90,London,"422,324",420.5,"1,004.3"
71,2026-09-16,CUST7842,Monitor,1743.57,5,SAVE20,Waterloo,20,8717.85,1743.57,6974.28,4,Waterloo,"121,436",64.06,"1,895.8"
72,2025-12-29,CUST1182,Smartwatch,647.47,3,SAVE20,Kitchener,20,1942.41,388.48,1553.93,265,Kitchener,"256,885",136.81,"1,877.6"
73,2026-04-23,CUST1293,Smartwatch,602.51,3,SAVE30,Toronto,30,1807.53,542.26,1265.27,150,Toronto,"2,794,356",631.1,"4,427.8"
74,2026-08-16,CUST4707,Headphones,363.52,3,SAVE30,Kitchener,30,1090.56,327.17,763.39,35,Kitchener,"256,885",136.81,"1,877.6"
75,2026-03-16,CUST5132,Keyboard,114.9,2,SAVE30,Kitchener,30,229.8,68.94,160.86,188,Kitchener,"256,885",136.81,"1,877.6"
76,2026-01-23,CUST9455,Headphones,1151.26,4,SAVE10,Waterloo,10,4605.04,460.5,4144.54,240,Waterloo,"121,436",64.06,"1,895.8"
77,2026-04-29,CUST5028,Laptop,37.03,5,SAVE10,Toronto,10,185.15,18.52,166.63,144,Toronto,"2,794,356",631.1,"4,427.8"
78,2025-11-26,CUST4237,Monitor,785.12,5,NO_COUPON,Kitchener,0,3925.6,0.0,3925.6,298,Kitchener,"256,885",136.81,"1,877.6"
79,2026-05-24,CUST3867,Laptop,1026.02,2,NO_COUPON,Toronto,0,2052.04,0.0,2052.04,119,Toronto,"2,794,356",631.1,"4,427.8"
80,2026-09-14,CUST9111,Smartwatch,146.16,5,SAVE20,Waterloo,20,730.8,146.16,584.64,6,Waterloo,"121,436",64.06,"1,895.8"
81,2026-01-04,CUST9527,Smartphone,1214.09,2,NO_COUPON,Ottawa,0,2428.18,0.0,2428.18,259,Ottawa,"1,017,449",2788.2,364.9
82,2026-08-03,CUST9785,Mouse,180.89,3,SAVE20,Kitchener,20,542.67,108.53,434.14,48,Kitchener,"256,885",136.81,"1,877.6"
83,2025-12-22,CUST7561,Headphones,912.9,1,SAVE10,Toronto,10,912.9,91.29,821.61,272,Toronto,"2,794,356",631.1,"4,427.8"
84,2026-06-23,CUST1681,Mouse,1706.93,5,NO_COUPON,Ottawa,0,8534.65,0.0,8534.65,89,Ottawa,"1,017,449",2788.2,364.9
85,2026-08-18,CUST6540,Monitor,136.47,1,SAVE10,Toronto,10,136.47,13.65,122.82,33,Toronto,"2,794,356",631.1,"4,427.8"
86,2025-09-23,CUST4669,Headphones,353.56,1,SAVE20,Ottawa,20,353.56,70.71,282.85,362,Ottawa,"1,017,449",2788.2,364.9
87,2026-09-08,CUST2955,Smartwatch,1067.85,4,SAVE10,Ottawa,10,4271.4,427.14,3844.26,12,Ottawa,"1,017,449",2788.2,364.9
88,2026-03-12,CUST8250,Tablet,1322.84,5,SAVE10,Kitchener,10,6614.2,661.42,5952.78,192,Kitchener,"256,885",136.81,"1,877.6"
89,2025-12-28,CUST9847,Mouse,627.31,2,SAVE20,Kitchener,20,1254.62,250.92,1003.7,266,Kitchener,"256,885",136.81,"1,877.6"
90,2026-01-07,CUST6679,Headphones,467.05,1,SAVE30,Kitchener,30,467.05,140.12,326.93,256,Kitchener,"256,885",136.81,"1,877.6"
91,2026-09-16,CUST7515,Monitor,1388.41,5,SAVE20,London,20,6942.05,1388.41,5553.64,4,London,"422,324",420.5,"1,004.3"
92,2025-09-27,CUST4243,Keyboard,169.48,3,SAVE30,London,30,508.44,152.53,355.91,358,London,"422,324",420.5,"1,004.3"
93,2026-02-26,CUST1854,Mouse,1394.47,1,SAVE10,London,10,1394.47,139.45,1255.02,206,London,"422,324",420.5,"1,004.3"
94,2026-04-09,CUST1505,Headphones,1948.59,1,SAVE20,Ottawa,20,1948.59,389.72,1558.87,164,Ottawa,"1,017,449",2788.2,364.9
95,2025-10-31,CUST4515,Keyboard,1800.62,5,NO_COUPON,London,0,9003.1,0.0,9003.1,324,London,"422,324",420.5,"1,004.3"
96,2025-10-20,CUST1096,Smartphone,299.05,3,SAVE10,Kitchener,10,897.15,89.72,807.43,335,Kitchener,"256,885",136.81,"1,877.6"
97,2026-06-04,CUST9991,Smartwatch,251.57,2,SAVE30,Kitchener,30,503.14,150.94,352.2,108,Kitchener,"256,885",136.81,"1,877.6"
98,2026-03-10,CUST9628,Keyboard,218.21,1,SAVE30,Waterloo,30,218.21,65.46,152.75,194,Waterloo,"121,436",64.06,"1,895.8"
99,2026-05-24,CUST1483,Monitor,1790.78,5,SAVE20,Toronto,20,8953.9,1790.78,7163.12,119,Toronto,"2,794,356",631.1,"4,427.8"
100,2026-02-15,CUST2761,Laptop,616.35,2,NO_COUPON,Kitchener,0,1232.7,0.0,1232.7,217,Kitchener,"256,885",136.81,"1,877.6"
101,2026-05-08,CUST4868,Laptop,655.39,5,SAVE10,Waterloo,10,3276.95,327.7,2949.25,135,Waterloo,"121,436",64.06,"1,895.8"
102,2026-03-23,CUST3171,Headphones,1049.78,3,SAVE30,Toronto,30,3149.34,944.8,2204.54,181,Toronto,"2,794,356",631.1,"4,427.8"
103,2026-03-17,CUST1077,Headphones,1634.39,5,NO_COUPON,Ottawa,0,8171.95,0.0,8171.95,187,Ottawa,"1,017,449",2788.2,364.9
104,2026-03-23,CUST1604,Smartphone,1405.06,3,SAVE30,Kitchener,30,4215.18,1264.55,2950.63,181,Kitchener,"256,885",136.81,"1,877.6"
105,2026-02-14,CUST4355,Tablet,1779.24,5,SAVE30,Ottawa,30,8896.2,2668.86,6227.34,218,Ottawa,"1,017,449",2788.2,364.9
106,2025-11-28,CUST3259,Tablet,506.4,5,SAVE10,Waterloo,10,2532.0,253.2,2278.8,296,Waterloo,"121,436",64.06,"1,895.8"
107,2026-09-12,CUST7269,Keyboard,1531.78,1,SAVE30,Waterloo,30,1531.78,459.53,1072.25,8,Waterloo,"121,436",64.06,"1,895.8"
108,2025-11-11,CUST1730,Keyboard,1015.13,5,SAVE10,Toronto,10,5075.65,507.56,4568.09,313,Toronto,"2,794,356",631.1,"4,427.8"
109,2026-05-21,CUST5000,Monitor,1882.49,1,NO_COUPON,Toronto,0,1882.49,0.0,1882.49,122,Toronto,"2,794,356",631.1,"4,427.8"
110,2026-06-19,CUST6870,Keyboard,1431.9,1,SAVE20,Kitchener,20,1431.9,286.38,1145.52,93,Kitchener,"256,885",136.81,"1,877.6"
111,2025-10-20,CUST8573,Tablet,654.59,4,SAVE30,Toronto,30,2618.36,785.51,1832.85,335,Toronto,"2,794,356",631.1,"4,427.8"
112,2025-10-25,CUST6708,Laptop,1778.47,4,SAVE20,Ottawa,20,7113.88,1422.78,5691.1,330,Ottawa,"1,017,449",2788.2,364.9
113,2026-05-04,CUST9951,Headphones,1189.1,5,SAVE10,Toronto,10,5945.5,594.55,5350.95,139,Toronto,"2,794,356",631.1,"4,427.8"
114,2026-08-26,CUST8181,Smartwatch,1534.57,5,SAVE10,Toronto,10,7672.85,767.28,6905.57,25,Toronto,"2,794,356",631.1,"4,427.8"
115,2025-11-29,CUST6339,Smartwatch,59.27,2,SAVE20,Kitchener,20,118.54,23.71,94.83,295,Kitchener,"256,885",136.81,"1,877.6"
116,2025-12-27,CUST4980,Keyboard,544.37,3,SAVE30,Kitchener,30,1633.11,489.93,1143.18,267,Kitchener,"256,885",136.81,"1,877.6"
117,2026-03-08,CUST6485,Tablet,603.29,3,NO_COUPON,Ottawa,0,1809.87,0.0,1809.87,196,Ottawa,"1,017,449",2788.2,364.9
118,2026-04-20,CUST9584,Headphones,1644.92,4,SAVE10,Kitchener,10,6579.68,657.97,5921.71,153,Kitchener,"256,885",136.81,"1,877.6"
119,2026-02-26,CUST8032,Headphones,1225.89,2,SAVE30,Waterloo,30,2451.78,735.53,1716.25,206,Waterloo,"121,436",64.06,"1,895.8"
120,2026-03-20,CUST8656,Laptop,369.48,4,SAVE20,Ottawa,20,1477.92,295.58,1182.34,184,Ottawa,"1,017,449",2788.2,364.9
121,2026-06-09,CUST8274,Monitor,1926.41,2,SAVE20,Toronto,20,3852.82,770.56,3082.26,103,Toronto,"2,794,356",631.1,"4,427.8"
122,2026-01-03,CUST7383,Smartwatch,715.35,4,SAVE10,London,10,2861.4,286.14,2575.26,260,London,"422,324",420.5,"1,004.3"
123,2025-11-01,CUST1799,Mouse,1543.81,3,NO_COUPON,Toronto,0,4631.43,0.0,4631.43,323,Toronto,"2,794,356",631.1,"4,427.8"
124,2026-09-06,CUST1842,Mouse,1072.78,3,SAVE10,Waterloo,10,3218.34,321.83,2896.51,14,Waterloo,"121,436",64.06,"1,895.8"
125,2026-05-05,CUST5520,Tablet,164.33,2,NO_COUPON,Ottawa,0,328.66,0.0,328.66,138,Ottawa,"1,017,449",2788.2,364.9
126,2025-12-27,CUST2809,Keyboard,653.17,1,SAVE30,Kitchener,30,653.17,195.95,457.22,267,Kitchener,"256,885",136.81,"1,877.6"
127,2026-09-06,CUST7694,Keyboard,395.99,2,NO_COUPON,Ottawa,0,791.98,0.0,791.98,14,Ottawa,"1,017,449",2788.2,364.9
128,2025-09-25,CUST6354,Headphones,1222.25,1,NO_COUPON,Ottawa,0,1222.25,0.0,1222.25,360,Ottawa,"1,017,449",2788.2,364.9
129,2026-05-28,CUST5142,Smartwatch,1989.34,4,SAVE20,Toronto,20,7957.36,1591.47,6365.89,115,Toronto,"2,794,356",631.1,"4,427.8"
130,2025-10-22,CUST6111,Monitor,1015.55,2,SAVE30,Kitchener,30,2031.1,609.33,1421.77,333,Kitchener,"256,885",136.81,"1,877.6"
131,2026-02-12,CUST1589,Laptop,913.71,4,SAVE30,London,30,3654.84,1096.45,2558.39,220,London,"422,324",420.5,"1,004.3"
132,2026-07-20,CUST7165,Smartphone,1279.5,1,SAVE10,Waterloo,10,1279.5,127.95,1151.55,62,Waterloo,"121,436",64.06,"1,895.8"
133,2025-09-30,CUST7683,Headphones,1718.36,5,NO_COUPON,Kitchener,0,8591.8,0.0,8591.8,355,Kitchener,"256,885",136.81,"1,877.6"
134,2026-08-04,CUST3397,Mouse,1192.64,5,SAVE10,Waterloo,10,5963.2,596.32,5366.88,47,Waterloo,"121,436",64.06,"1,895.8"
135,2026-08-13,CUST4031,Smartphone,1772.73,4,NO_COUPON,Kitchener,0,7090.92,0.0,7090.92,38,Kitchener,"256,885",136.81,"1,877.6"
136,2025-12-28,CUST4441,Tablet,1407.84,1,NO_COUPON,London,0,1407.84,0.0,1407.84,266,London,"422,324",420.5,"1,004.3"
137,2025-11-26,CUST1488,Smartphone,541.58,1,NO_COUPON,Ottawa,0,541.58,0.0,541.58,298,Ottawa,"1,017,449",2788.2,364.9
138,2026-08-21,CUST9963,Tablet,277.07,3,NO_COUPON,Kitchener,0,831.21,0.0,831.21,30,Kitchener,"256,885",136.81,"1,877.6"
139,2026-06-13,CUST8280,Headphones,1641.01,5,NO_COUPON,Toronto,0,8205.05,0.0,8205.05,99,Toronto,"2,794,356",631.1,"4,427.8"
140,2026-03-01,CUST1878,Monitor,728.8,2,NO_COUPON,Toronto,0,1457.6,0.0,1457.6,203,Toronto,"2,794,356",631.1,"4,427.8"
141,2026-04-28,CUST8967,Keyboard,1000.44,2,SAVE20,Waterloo,20,2000.88,400.18,1600.7,145,Waterloo,"121,436",64.06,"1,895.8"
142,2026-06-25,CUST3499,Laptop,267.66,3,SAVE10,Waterloo,10,802.98,80.3,722.68,87,Waterloo,"121,436",64.06,"1,895.8"
143,2025-12-12,CUST8563,Laptop,545.02,1,SAVE30,London,30,545.02,163.51,381.51,282,London,"422,324",420.5,"1,004.3"
144,2026-07-29,CUST2787,Keyboard,25.24,4,NO_COUPON,Toronto,0,100.96,0.0,100.96,53,Toronto,"2,794,356",631.1,"4,427.8"
145,2025-11-29,CUST8645,Headphones,1303.06,4,SAVE30,Toronto,30,5212.24,1563.67,3648.57,295,Toronto,"2,794,356",631.1,"4,427.8"
146,2026-04-13,CUST7412,Smartwatch,1898.13,1,NO_COUPON,London,0,1898.13,0.0,1898.13,160,London,"422,324",420.5,"1,004.3"
147,2025-10-08,CUST1082,Smartphone,244.44,4,SAVE20,London,20,977.76,195.55,782.21,347,London,"422,324",420.5,"1,004.3"
148,2025-10-15,CUST6351,Headphones,654.35,4,SAVE20,Ottawa,20,2617.4,523.48,2093.92,340,Ottawa,"1,017,449",2788.2,364.9
149,2026-02-22,CUST5153,Laptop,1992.02,1,SAVE20,Ottawa,20,1992.02,398.4,1593.62,210,Ottawa,"1,017,449",2788.2,364.9
150,2026-03-01,CUST3251,Headphones,811.99,2,SAVE30,London,30,1623.98,487.19,1136.79,203,London,"422,324",420.5,"1,004.3"
151,2026-07-29,CUST9838,Laptop,512.66,3,SAVE30,Kitchener,30,1537.98,461.39,1076.59,53,Kitchener,"256,885",136.81,"1,877.6"
152,2025-11-29,CUST9474,Tablet,59.21,2,NO_COUPON,London,0,118.42,0.0,118.42,295,London,"422,324",420.5,"1,004.3"
153,2025-12-14,CUST9775,Keyboard,832.09,2,SAVE30,Toronto,30,1664.18,499.25,1164.93,280,Toronto,"2,794,356",631.1,"4,427.8"
154,2026-01-12,CUST1790,Tablet,127.05,4,NO_COUPON,Ottawa,0,508.2,0.0,508.2,251,Ottawa,"1,017,449",2788.2,364.9
155,2026-03-02,CUST8332,Smartphone,54.66,1,SAVE30,Waterloo,30,54.66,16.4,38.26,202,Waterloo,"121,436",64.06,"1,895.8"
156,2025-11-29,CUST3393,Mouse,1380.06,4,SAVE10,Ottawa,10,5520.24,552.02,4968.22,295,Ottawa,"1,017,449",2788.2,364.9
157,2026-06-29,CUST2903,Monitor,1007.35,1,SAVE10,Kitchener,10,1007.35,100.74,906.61,83,Kitchener,"256,885",136.81,"1,877.6"
158,2026-05-30,CUST7095,Keyboard,1262.59,4,NO_COUPON,Ottawa,0,5050.36,0.0,5050.36,113,Ottawa,"1,017,449",2788.2,364.9
159,2025-12-12,CUST3684,Smartphone,1676.41,2,SAVE20,London,20,3352.82,670.56,2682.26,282,London,"422,324",420.5,"1,004.3"
160,2026-08-24,CUST4173,Monitor,1554.28,3,SAVE20,Waterloo,20,4662.84,932.57,3730.27,27,Waterloo,"121,436",64.06,"1,895.8"
161,2025-12-28,CUST3384,Smartwatch,1528.84,2,SAVE10,London,10,3057.68,305.77,2751.91,266,London,"422,324",420.5,"1,004.3"
162,2025-11-16,CUST3783,Keyboard,1444.53,2,NO_COUPON,Toronto,0,2889.06,0.0,2889.06,308,Toronto,"2,794,356",631.1,"4,427.8"
163,2025-10-18,CUST3497,Smartphone,673.14,3,SAVE10,Waterloo,10,2019.42,201.94,1817.48,337,Waterloo,"121,436",64.06,"1,895.8"
164,2025-12-11,CUST4427,Smartwatch,1115.72,1,SAVE20,Waterloo,20,1115.72,223.14,892.58,283,Waterloo,"121,436",64.06,"1,895.8"
165,2025-12-12,CUST4546,Keyboard,1932.8,2,SAVE10,Kitchener,10,3865.6,386.56,3479.04,282,Kitchener,"256,885",136.81,"1,877.6"
166,2026-05-28,CUST6431,Smartwatch,240.08,2,SAVE20,Kitchener,20,480.16,96.03,384.13,115,Kitchener,"256,885",136.81,"1,877.6"
167,2026-04-02,CUST9428,Smartwatch,717.53,4,SAVE20,London,20,2870.12,574.02,2296.1,171,London,"422,324",420.5,"1,004.3"
168,2026-09-01,CUST2132,Smartwatch,1014.42,1,SAVE30,Waterloo,30,1014.42,304.33,710.09,19,Waterloo,"121,436",64.06,"1,895.8"
169,2026-03-15,CUST4130,Headphones,1843.48,1,SAVE20,Ottawa,20,1843.48,368.7,1474.78,189,Ottawa,"1,017,449",2788.2,364.9
170,2026-06-20,CUST3051,Headphones,1222.92,1,NO_COUPON,Ottawa,0,1222.92,0.0,1222.92,92,Ottawa,"1,017,449",2788.2,364.9
171,2025-11-30,CUST9946,Smartwatch,1964.61,2,NO_COUPON,London,0,3929.22,0.0,3929.22,294,London,"422,324",420.5,"1,004.3"
172,2026-08-20,CUST6454,Mouse,943.88,3,SAVE30,London,30,2831.64,849.49,1982.15,31,London,"422,324",420.5,"1,004.3"
173,2026-07-20,CUST1748,Keyboard,1126.39,4,SAVE20,Toronto,20,4505.56,901.11,3604.45,62,Toronto,"2,794,356",631.1,"4,427.8"
174,2026-08-12,CUST8674,Monitor,1031.93,1,SAVE20,Kitchener,20,1031.93,206.39,825.54,39,Kitchener,"256,885",136.81,"1,877.6"
175,2026-07-19,CUST7500,Smartwatch,1744.36,2,SAVE20,Waterloo,20,3488.72,697.74,2790.98,63,Waterloo,"121,436",64.06,"1,895.8"
